X,Y,OBJECTID,AUN,SCHOOL_NUM,LOCATION_ID,FACIL_NAME,FACILNAME_LABEL,FACIL_ADDRESS,ZIPCODE,FACIL_TELEPHONE,ACTIVE,GRADE_LEVEL,GRADE_ORG,ENROLLMENT,TYPE,TYPE_SPECIFIC
-75.210184742915004,40.079267788964799,490,226515302,,,Our Mother of Consolation,Our Mother Consolation,7-29 E CHESTNUT HILL AVE,19118,215-247-1060,Open,Elem/Middle,pre K-8,161,Private,Archdiocese
-75.18871677198355,40.061750090378688,491,226512152,,,Holy Cross School,Holy Cross School,148-54 E MOUNT AIRY AVE,19119,(215) 242-0414,Open,Elem/Middle,K-8,150,Private,Archdiocese
-75.030233257835903,40.055650040922139,492,226518092,,,St Jerome School,St Jerome School,2950 HOLME AVE,19136,(215) 624-0637,Open,Elem/Middle,K-8,534,Private,Archdiocese
-75.062448075507334,40.053400096487138,493,226515552,,,Resurrection Regional Catholic School,Resurrection Sch,2020 Shelmire Ave.,19152,(215)742-1127,Open,Elem/Middle,pre K-8,559,Private,Archdiocese
-75.023397109018262,40.048201567923158,494,226511602,,,Father Judge High School,Father Judge HS,3301 SOLLY AVE,19136,215.338.9494,Open,High School,9-12,1136,Private,Archdiocese
-75.129065538178992,40.044446130587922,495,226517902,,,St Helena Incarnation Regional Catholic School,St Helena School,6106 N 5th St,19120,(215) 549-2947,Open,Elem/Middle,K-8,495,Private,Archdiocese
-75.237895523918723,39.97508106864283,496,226519282,,,St Rose of Lima School,St Rose of Lima Sch,1508 N  Wanamaker St,19131,(215) 473-6030,Open,Elem/Middle,pre K-8,202,Private,Archdiocese
-75.234536126213598,40.064420771686798,497,226512702,,,Immaculate Heart of Mary School,Immaculate Heart of Mary Sch,815-23 CATHEDRAL RD,19128,215-482-2029,Open,Elem/Middle,pre K-8,410,Private,Archdiocese
-75.154086869040142,40.061700347144978,498,226516302,,,St Athanasius Immaculate Conception School,St Athanasius Immaculate Con,7105 Limekiln Pike,19138,(215) 424-5045,Open,Elem/Middle,pre K-8,281,Private,Archdiocese
-75.081283165884855,40.077088374724902,499,226517052,,,St Cecilia School,St Cecilia School,535 RHAWN ST,19111,(215) 725-8588,Open,Elem/Middle,K-8,669,Private,Archdiocese
